
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: roles-charm (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  57/3/0/0       2.0       35%     54%    46%  100% 1.00   35%
  early      grave-larva               blind        policy-pick           100%  57/3/0/0       2.0       35%     54%    46%  100% 1.00   35%
  early      grave-larva               dot-weaver   policy-pick           100%  60/0/0/0       1.9       38%     58%    42%  100% 0.99   36%
  early      grave-larva               control-lock policy-pick           100%  58/2/0/0       2.9       33%     55%    43%  100% 0.98   55%
  early      grave-larva               aggro-brute  policy-pick           100%  55/5/0/0       2.3       30%     56%    44%  100% 1.00   29%
  early      grave-larva               turtle       policy-pick            82%  48/1/11/0      4.9        6%     60%    40%  100% 0.97   30%
  early      grave-larva               chaos        policy-pick           100%  59/1/0/0       2.7       26%     56%    44%  100% 1.00   38%
  early      grave-larva               mercy-seeker policy-pick           100%  56/4/0/0       3.3       15%     56%    44%  100% 0.97   29%
  early      foot-stealer              greedy       policy-pick           100%  60/0/0/0       2.5       35%     55%    45%  100% 1.00   46%
  early      foot-stealer              blind        policy-pick           100%  60/0/0/0       2.5       35%     55%    45%  100% 1.00   45%
  early      foot-stealer              dot-weaver   policy-pick           100%  60/0/0/0       2.4       39%     61%    39%  100% 0.99   35%
  early      foot-stealer              control-lock policy-pick           100%  60/0/0/0       3.4       33%     54%    44%  100% 0.98   57%
  early      foot-stealer              aggro-brute  policy-pick           100%  60/0/0/0       2.6       29%     56%    44%  100% 1.00   33%
  early      foot-stealer              turtle       policy-pick            65%  39/0/21/0      5.0        7%     58%    42%  100% 0.97   32%
